[10:12:41] 📍 Loaded 754 district venues
[03:02:31] ❌ 9365 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=9365&date=2026-08-21'
[03:02:31] ❌ 1039865 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1039865&date=2026-08-21'
[03:02:32] ❌ 1098929 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1098929&date=2026-08-21'
[03:02:33] ❌ 27151 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=27151&date=2026-08-21'
[03:02:33] ❌ 36376 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=36376&date=2026-08-21'
[03:02:33] ❌ 1046654 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1046654&date=2026-08-21'
[03:02:34] ❌ 25803 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=25803&date=2026-08-21'
[03:02:34] ❌ 1039849 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1039849&date=2026-08-21'
[03:02:34] ❌ 44361 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=44361&date=2026-08-21'
[03:02:34] ❌ 1039851 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1039851&date=2026-08-21'
[03:02:35] ❌ 1041244 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1041244&date=2026-08-21'
[03:02:35] ❌ 7543 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=7543&date=2026-08-21'
[03:02:35] ❌ 1041449 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1041449&date=2026-08-21'
[03:02:35] ❌ 4693 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4693&date=2026-08-21'
[03:02:36] ❌ 56048 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=56048&date=2026-08-21'
[03:02:37] ❌ 7841 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=7841&date=2026-08-21'
[03:02:37] ❌ 13958 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=13958&date=2026-08-21'
[03:02:37] ❌ 1039848 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1039848&date=2026-08-21'
[03:02:37] ❌ 1001773 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1001773&date=2026-08-21'
[03:02:37] ❌ 7813 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=7813&date=2026-08-21'
[03:02:38] ❌ 14120 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=14120&date=2026-08-21'
[03:02:38] ❌ 1056572 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1056572&date=2026-08-21'
[03:02:38] ❌ 7301 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=7301&date=2026-08-21'
[03:02:39] ❌ 1080239 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1080239&date=2026-08-21'
[03:02:40] ❌ 4189 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4189&date=2026-08-21'
[03:02:40] ❌ 1018799 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1018799&date=2026-08-21'
[03:02:40] ❌ 1022965 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1022965&date=2026-08-21'
[03:02:41] ❌ 1016089 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1016089&date=2026-08-21'
[03:02:41] ❌ 27373 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=27373&date=2026-08-21'
[03:02:41] ❌ 1030438 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1030438&date=2026-08-21'
[03:02:41] ❌ 1041394 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1041394&date=2026-08-21'
[03:02:42] ❌ 1075746 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1075746&date=2026-08-21'
[03:02:42] ❌ 4178 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4178&date=2026-08-21'
[03:02:43] ❌ 55733 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=55733&date=2026-08-21'
[03:02:43] ❌ 60085 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=60085&date=2026-08-21'
[03:02:44] ❌ 1037525 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1037525&date=2026-08-21'
[03:02:44] ❌ 1037518 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1037518&date=2026-08-21'
[03:02:44] ❌ 60083 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=60083&date=2026-08-21'
[03:02:45] ❌ 24521 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=24521&date=2026-08-21'
[03:02:45] ❌ 1008456 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1008456&date=2026-08-21'
[03:02:45] ❌ 1053400 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1053400&date=2026-08-21'
[03:02:46] ❌ 9920 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=9920&date=2026-08-21'
[03:02:47] ❌ 4380 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4380&date=2026-08-21'
[03:02:47] ❌ 1018652 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1018652&date=2026-08-21'
[03:02:47] ❌ 1041743 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1041743&date=2026-08-21'
[03:02:47] ❌ 17069 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=17069&date=2026-08-21'
[03:02:47] ❌ 28968 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=28968&date=2026-08-21'
[03:02:47] ❌ 1041728 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1041728&date=2026-08-21'
[03:02:48] ❌ 1016053 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1016053&date=2026-08-21'
[03:02:48] ❌ 1008418 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1008418&date=2026-08-21'
[03:02:48] ❌ 10940 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=10940&date=2026-08-21'
[03:02:49] ❌ 25804 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=25804&date=2026-08-21'
[03:02:50] ❌ 1016133 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1016133&date=2026-08-21'
[03:02:50] ❌ 1053618 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1053618&date=2026-08-21'
[03:02:50] ❌ 4171 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4171&date=2026-08-21'
[03:02:50] ❌ 9487 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=9487&date=2026-08-21'
[03:02:51] ❌ 1050791 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1050791&date=2026-08-21'
[03:02:51] ❌ 1049666 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1049666&date=2026-08-21'
[03:02:51] ❌ 1030504 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1030504&date=2026-08-21'
[03:02:51] ❌ 1037961 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1037961&date=2026-08-21'
[03:02:52] ❌ 55272 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=55272&date=2026-08-21'
[03:02:52] ❌ 1007054 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1007054&date=2026-08-21'
[03:02:53] ❌ 1016088 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1016088&date=2026-08-21'
[03:02:53] ❌ 1011174 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1011174&date=2026-08-21'
[03:02:53] ❌ 1042635 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1042635&date=2026-08-21'
[03:02:53] ❌ 1042640 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1042640&date=2026-08-21'
[03:02:53] ❌ 1042615 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1042615&date=2026-08-21'
[03:02:54] ❌ 5059 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=5059&date=2026-08-21'
[03:02:54] ❌ 1036962 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1036962&date=2026-08-21'
[03:02:54] ❌ 1037511 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1037511&date=2026-08-21'
[03:02:55] ❌ 4248 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4248&date=2026-08-21'
[03:02:55] ❌ 4891 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4891&date=2026-08-21'
[03:02:55] ❌ 1042453 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1042453&date=2026-08-21'
[03:02:56] ❌ 28925 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=28925&date=2026-08-21'
[03:02:56] ❌ 3960 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=3960&date=2026-08-21'
[03:02:56] ❌ 4232 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4232&date=2026-08-21'
[03:02:56] ❌ 1037502 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1037502&date=2026-08-21'
[03:02:57] ❌ 22684 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=22684&date=2026-08-21'
[03:02:57] ❌ 1041504 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1041504&date=2026-08-21'
[03:02:57] ❌ 3981 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=3981&date=2026-08-21'
[03:02:58] ❌ 1012595 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1012595&date=2026-08-21'
[03:02:58] ❌ 3910 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=3910&date=2026-08-21'
[03:02:58] ❌ 14702 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=14702&date=2026-08-21'
[03:02:58] ❌ 7881 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=7881&date=2026-08-21'
[03:02:58] ❌ 6044 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=6044&date=2026-08-21'
[03:02:58] ❌ 1037526 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1037526&date=2026-08-21'
[03:02:59] ❌ 4028 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4028&date=2026-08-21'
[03:02:59] ❌ 7534 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=7534&date=2026-08-21'
[03:03:00] ❌ 14694 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=14694&date=2026-08-21'
[03:03:00] ❌ 32194 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=32194&date=2026-08-21'
[03:03:00] ❌ 19528 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=19528&date=2026-08-21'
[03:03:00] ❌ 4067 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4067&date=2026-08-21'
[03:03:01] ❌ 58633 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=58633&date=2026-08-21'
[03:03:01] ❌ 1067946 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1067946&date=2026-08-21'
[03:03:01] ❌ 25860 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=25860&date=2026-08-21'
[03:03:02] ❌ 9135 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=9135&date=2026-08-21'
[03:03:02] ❌ 6057 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=6057&date=2026-08-21'
[03:03:02] ❌ 4008 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4008&date=2026-08-21'
[03:03:02] ❌ 10250 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=10250&date=2026-08-21'
[03:03:02] ❌ 1019166 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1019166&date=2026-08-21'
[03:03:03] ❌ 43348 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=43348&date=2026-08-21'
[03:03:04] ❌ 1018798 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1018798&date=2026-08-21'
[03:03:04] ❌ 1091219 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1091219&date=2026-08-21'
[03:03:04] ❌ 1005798 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1005798&date=2026-08-21'
[03:03:04] ❌ 1092958 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1092958&date=2026-08-21'
[03:03:04] ❌ 1050645 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1050645&date=2026-08-21'
[03:03:05] ❌ 1005799 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1005799&date=2026-08-21'
[03:03:05] ❌ 1020333 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1020333&date=2026-08-21'
[03:03:05] ❌ 1034375 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1034375&date=2026-08-21'
[03:03:05] ❌ 1089067 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1089067&date=2026-08-21'
[03:03:06] ❌ 1037530 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1037530&date=2026-08-21'
[03:03:06] ❌ 1015289 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1015289&date=2026-08-21'
[03:03:06] ❌ 1025291 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1025291&date=2026-08-21'
[03:03:07] ❌ 1041725 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1041725&date=2026-08-21'
[03:03:07] ❌ 1058794 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1058794&date=2026-08-21'
[03:03:07] ❌ 1058533 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1058533&date=2026-08-21'
[03:03:07] ❌ 1023626 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1023626&date=2026-08-21'
[03:03:07] ❌ 1044095 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1044095&date=2026-08-21'
[03:03:08] ❌ 1034383 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1034383&date=2026-08-21'
[03:03:08] ❌ 4608 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4608&date=2026-08-21'
[03:03:08] ❌ 1015291 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1015291&date=2026-08-21'
[03:03:08] ❌ 27150 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=27150&date=2026-08-21'
[03:03:09] ❌ 1033632 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1033632&date=2026-08-21'
[03:03:09] ❌ 27715 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=27715&date=2026-08-21'
[03:03:10] ❌ 1039768 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1039768&date=2026-08-21'
[03:03:10] ❌ 27716 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=27716&date=2026-08-21'
[03:03:10] ❌ 1034254 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1034254&date=2026-08-21'
[03:03:10] ❌ 1019593 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1019593&date=2026-08-21'
[03:03:11] ❌ 1034186 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1034186&date=2026-08-21'
[03:03:11] ❌ 1013208 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1013208&date=2026-08-21'
[03:03:11] ❌ 4042 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4042&date=2026-08-21'
[03:03:11] ❌ 44966 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=44966&date=2026-08-21'
[03:03:12] ❌ 24929 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=24929&date=2026-08-21'
[03:03:12] ❌ 1039751 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1039751&date=2026-08-21'
